iter	Passed	Remaining
0	1	110
1	2	119
2	3	128
3	5	136
4	7	137
5	10	170
6	13	178
7	15	178
8	17	177
9	19	175
10	21	173
11	23	172
12	25	170
13	27	167
14	29	165
15	30	162
16	32	159
17	34	156
18	36	154
19	37	151
20	39	148
21	41	146
22	43	144
23	44	141
24	46	139
25	48	138
26	50	136
27	52	134
28	54	132
29	55	130
30	57	127
31	59	125
32	61	123
33	62	122
34	64	120
35	66	118
36	68	116
37	70	114
38	71	112
39	73	110
40	75	108
41	75	104
42	77	102
43	78	100
44	80	98
45	82	96
46	84	95
47	85	92
48	86	90
49	88	88
50	89	86
51	91	84
52	93	82
53	94	80
54	95	77
55	96	75
56	97	73
57	99	71
58	100	69
59	101	67
60	103	65
61	104	64
62	105	62
63	106	60
64	107	58
65	109	56
66	110	54
67	111	52
68	112	50
69	113	48
70	115	46
71	116	45
72	117	43
73	118	41
74	119	39
75	120	37
76	121	36
77	122	34
78	123	32
79	124	31
80	125	29
81	126	27
82	127	26
83	128	24
84	129	22
85	130	21
86	131	19
87	132	18
88	133	16
89	134	14
90	135	13
91	136	11
92	137	10
93	138	8
94	139	7
95	140	5
96	141	4
97	142	2
98	143	1
99	144	0
