iter	Passed	Remaining
0	1	111
1	2	121
2	3	124
3	4	114
4	6	115
5	7	115
6	8	115
7	10	118
8	11	119
9	13	120
10	14	120
11	16	119
12	17	118
13	19	119
14	20	118
15	22	117
16	23	116
17	25	116
18	27	115
19	28	114
20	30	114
21	32	113
22	33	112
23	35	111
24	36	109
25	38	108
26	39	107
27	41	105
28	42	104
29	44	103
30	45	101
31	47	100
32	48	98
33	50	97
34	51	96
35	53	94
36	54	93
37	56	91
38	58	91
39	59	89
40	61	87
41	61	85
42	63	83
43	64	82
44	66	81
45	68	80
46	70	79
47	72	78
48	73	76
49	75	75
50	76	73
51	78	72
52	80	71
53	81	69
54	82	67
55	84	66
56	85	64
57	87	63
58	88	61
59	90	60
60	91	58
61	93	57
62	95	55
63	96	54
64	99	53
65	100	52
66	102	50
67	104	49
68	106	48
69	109	46
70	111	45
71	113	44
72	115	42
73	118	41
74	120	40
75	122	38
76	125	37
77	127	35
78	129	34
79	131	32
80	133	31
81	136	29
82	138	28
83	141	26
84	143	25
85	145	23
86	147	21
87	149	20
88	151	18
89	153	17
90	155	15
91	157	13
92	159	12
93	161	10
94	163	8
95	165	6
96	167	5
97	169	3
98	171	1
99	172	0
